Sample Index,Peak 1,Peak 2,Peak 3
0,626.3,878.8,
1,505.1,636.4,
2,474.8,,
3,464.7,,
4,474.8,596.0,
5,454.6,737.4,
6,878.8,,
7,444.5,,
8,444.5,707.1,
9,434.40000000000003,,
10,515.2,808.1,
11,464.7,767.7,
12,444.5,,
13,434.40000000000003,,
14,606.1,,
15,444.5,,
16,414.2,545.5,737.4
17,434.40000000000003,596.0,757.6
18,636.4,798.0,
19,484.9,596.0,747.5
20,606.1,767.7,
21,484.9,636.4,
22,808.1,,
23,464.7,535.4,
24,505.1,636.4,
25,636.4,828.3,
26,444.5,686.9,
27,414.2,525.3,686.9
28,464.7,636.4,888.9
29,484.9,767.7,
30,464.7,596.0,798.0
31,697.0,,
32,474.8,596.0,
33,464.7,585.9,
34,474.8,616.2,
35,484.9,,
36,484.9,656.6,
