Sample Index,Peak 1,Peak 2,Peak 3
0,474.8,,
1,484.9,,
2,454.6,616.2,
3,474.8,,
4,484.9,,
5,495.0,,
6,474.8,,
7,454.6,616.2,
8,484.9,,
9,484.9,,
10,464.7,626.3,
11,474.8,,
12,484.9,,
13,474.8,,
14,474.8,,
15,464.7,616.2,
16,484.9,,
17,474.8,,
18,474.8,,
19,474.8,,
20,474.8,,
21,474.8,,
22,474.8,,
23,464.7,626.3,
24,484.9,,
25,474.8,,
26,484.9,,
27,474.8,,
28,484.9,,
29,474.8,,
30,484.9,,
31,474.8,,
32,474.8,,
33,474.8,,
34,484.9,,
35,484.9,,
36,474.8,626.3,
37,495.0,,
38,474.8,,
39,484.9,,
40,484.9,565.7,
41,495.0,,
42,484.9,636.4,
43,474.8,,
44,495.0,,
45,474.8,646.5,
46,474.8,636.4,
47,484.9,,
48,474.8,646.5,
49,484.9,646.5,
50,495.0,,
51,484.9,,
52,474.8,636.4,
53,505.1,626.3,
54,505.1,656.6,
55,505.1,646.5,
56,505.1,626.3,
57,505.1,646.5,
58,505.1,626.3,
59,515.2,656.6,
60,505.1,626.3,
61,505.1,626.3,
62,505.1,656.6,
63,505.1,676.8,
64,505.1,646.5,
65,505.1,626.3,
66,505.1,666.7,
67,515.2,,
68,515.2,,
69,505.1,656.6,
70,495.0,626.3,
71,474.8,,
72,474.8,,
73,474.8,,
74,495.0,596.0,
75,464.7,,
76,464.7,,
77,464.7,,
78,505.1,596.0,
79,474.8,,
80,474.8,,
81,474.8,,
82,474.8,,
83,495.0,666.7,
84,474.8,,
85,495.0,636.4,
86,464.7,,
87,464.7,,
88,484.9,,
89,495.0,606.1,
90,495.0,666.7,
91,484.9,626.3,
92,464.7,,
93,464.7,,
94,464.7,,
95,464.7,,
96,464.7,,
97,464.7,,
98,495.0,656.6,
99,495.0,606.1,
