Sample Index,Peak 1_actual,Peak 2_actual,Peak 3_actual,Peak 1_predicted,Peak 2_predicted,Peak 3_predicted
67,293.0,383.90000000000003,686.9,515.2,,
68,293.0,394.0,717.2,515.2,,
69,373.8,676.8,,505.1,656.6,
66,414.2,686.9,,505.1,666.7,
63,424.3,646.5,,505.1,676.8,
96,434.40000000000003,525.3,,464.7,,
92,434.40000000000003,636.4,,464.7,,
2,434.40000000000003,,,454.6,616.2,
73,434.40000000000003,525.3,,474.8,,
72,444.5,525.3,,474.8,,
21,444.5,,,474.8,,
57,444.5,,,505.1,646.5,
93,444.5,596.0,,464.7,,
94,444.5,535.4,,464.7,,
25,444.5,525.3,676.8,474.8,,
71,444.5,525.3,,474.8,,
19,444.5,,,474.8,,
99,444.5,575.8,,495.0,606.1,
95,444.5,585.9,,464.7,,
97,444.5,555.6,,464.7,,
18,454.6,,,474.8,,
61,454.6,686.9,,505.1,626.3,
87,454.6,,,464.7,,
86,454.6,,,464.7,,
7,454.6,,,454.6,616.2,
74,454.6,545.5,,495.0,596.0,
48,454.6,,,474.8,646.5,
32,454.6,,,474.8,,
31,454.6,,,474.8,,
82,454.6,,,474.8,,
44,454.6,626.3,808.1,495.0,,
45,454.6,,,474.8,646.5,
10,454.6,,,464.7,626.3,
26,454.6,636.4,,484.9,,
90,454.6,,,495.0,666.7,
24,454.6,646.5,,484.9,,
23,454.6,,,464.7,626.3,
22,454.6,,,474.8,,
15,454.6,,,464.7,616.2,
20,454.6,,,474.8,,
78,454.6,585.9,,505.1,596.0,
91,454.6,,,484.9,626.3,
58,464.7,,,505.1,626.3,
76,464.7,,,464.7,,
77,464.7,,,464.7,,
79,464.7,,,474.8,,
80,464.7,555.6,,474.8,,
81,464.7,555.6,,474.8,,
75,464.7,,,464.7,,
51,464.7,616.2,,484.9,,
84,464.7,,,474.8,,
98,464.7,,,495.0,656.6,
13,464.7,,,474.8,,
17,464.7,,,474.8,,
47,474.8,616.2,767.7,484.9,,
53,474.8,,,505.1,626.3,
30,474.8,646.5,,484.9,,
35,474.8,,,484.9,,
43,474.8,676.8,,474.8,,
60,474.8,,,505.1,626.3,
85,474.8,,,495.0,636.4,
9,474.8,636.4,,484.9,,
28,484.9,636.4,,484.9,,
29,484.9,,,474.8,,
5,484.9,,,495.0,,
50,484.9,,,495.0,,
46,484.9,,,474.8,636.4,
38,484.9,626.3,,474.8,,
39,484.9,606.1,,484.9,,
89,484.9,,,495.0,606.1,
59,484.9,818.2,,515.2,656.6,
88,484.9,,,484.9,,
56,484.9,,,505.1,626.3,
3,495.0,,,474.8,,
65,525.3,,,505.1,626.3,
27,535.4,737.4,,474.8,,
14,565.7,,,474.8,,
37,565.7,767.7,,495.0,,
33,575.8,,,474.8,,
34,585.9,818.2,,484.9,,
4,585.9,717.2,,484.9,,
8,585.9,727.3,,484.9,,
11,596.0,,,474.8,,
6,596.0,,,474.8,,
49,606.1,888.9,,484.9,646.5,
62,606.1,,,505.1,656.6,
36,606.1,808.1,,474.8,626.3,
54,616.2,,,505.1,656.6,
40,616.2,888.9,,484.9,565.7,
16,616.2,,,484.9,,
42,626.3,858.6,,484.9,636.4,
1,626.3,798.0,,484.9,,
0,626.3,,,474.8,,
55,636.4,,,505.1,646.5,
52,636.4,888.9,,474.8,636.4,
83,646.5,,,495.0,666.7,
70,666.7,,,495.0,626.3,
64,686.9,,,505.1,646.5,
12,697.0,,,484.9,,
41,767.7,,,495.0,,
