Sample Index,Peak 1_actual,Peak 2_actual,Peak 3_actual,Peak 1_predicted,Peak 2_predicted,Peak 3_predicted
15,414.2,545.5,737.4,484.9,,
1,434.40000000000003,,,464.7,565.7,
2,434.40000000000003,,,454.6,575.8,
26,444.5,707.1,,484.9,,
35,444.5,525.3,,505.1,,
34,444.5,555.6,,454.6,555.6,
52,444.5,,,464.7,,
24,444.5,555.6,,454.6,555.6,
22,444.5,535.4,,505.1,,
39,444.5,606.1,,505.1,,
19,444.5,636.4,,495.0,,
38,444.5,535.4,,464.7,606.1,
42,454.6,585.9,,454.6,565.7,
28,454.6,565.7,,454.6,555.6,
25,454.6,636.4,,505.1,,
20,454.6,,,495.0,,
49,454.6,575.8,,464.7,,
11,454.6,,,464.7,585.9,
13,454.6,,,464.7,596.0,
12,454.6,,,505.1,,
45,454.6,,,474.8,,
6,454.6,626.3,808.1,495.0,,
16,454.6,,,474.8,,
7,464.7,,,454.6,606.1,
41,464.7,,,474.8,,
3,464.7,,,464.7,596.0,
33,464.7,,,454.6,596.0,
31,464.7,,,474.8,,
43,464.7,555.6,,464.7,,
27,464.7,697.0,,474.8,,
48,464.7,,,464.7,585.9,
23,464.7,,,464.7,,
44,474.8,596.0,,495.0,,
21,474.8,,,464.7,,
5,474.8,,,474.8,,
4,474.8,596.0,,484.9,,
9,474.8,848.5,,454.6,606.1,
18,474.8,,,464.7,606.1,
46,484.9,596.0,747.5,495.0,,
0,484.9,,,474.8,,
36,484.9,,,464.7,,
30,484.9,606.1,,454.6,555.6,
17,484.9,636.4,,474.8,,
10,484.9,,,495.0,,
8,525.3,,,454.6,606.1,
47,585.9,727.3,,505.1,,
51,585.9,818.2,,474.8,,
50,596.0,,,454.6,575.8,
40,626.3,,,464.7,,
37,626.3,878.8,,474.8,,
32,636.4,888.9,,495.0,,
29,646.5,,,495.0,,
14,656.6,,,505.1,,
53,878.8,,,495.0,,
