Sample Index,Peak 1,Peak 2,Peak 3
0,484.9,,
1,484.9,565.7,
2,474.8,,
3,454.6,,
4,495.0,,
5,474.8,,
6,495.0,575.8,
7,464.7,,
8,515.2,585.9,
9,454.6,,
10,545.5,,
11,484.9,,
12,495.0,,
13,454.6,616.2,
14,474.8,646.5,
15,464.7,545.5,
16,474.8,,
17,575.8,,
18,464.7,575.8,
19,454.6,606.1,
20,484.9,,
21,484.9,,
22,474.8,565.7,656.6
23,464.7,,
24,464.7,585.9,
25,495.0,565.7,
26,474.8,535.4,
27,474.8,,
28,464.7,565.7,
29,474.8,636.4,
30,555.6,,
31,474.8,,
32,505.1,646.5,
33,474.8,575.8,
34,484.9,,
35,474.8,575.8,656.6
36,525.3,585.9,
37,474.8,535.4,
38,464.7,,
39,454.6,616.2,
40,484.9,545.5,
41,505.1,596.0,
42,464.7,,
43,484.9,,
44,464.7,,
45,464.7,545.5,
46,505.1,,
47,484.9,575.8,
48,464.7,,
49,515.2,,
50,444.5,585.9,
51,535.4,,
52,484.9,,
53,505.1,,
